Time,Time (ms),Motor speed (rpm),BLDC Q curent for monitoring,Filtered Q current (A),BLDC Ph A amps (abs) (A),BLDC Ph B amps (abs) (A),BLDC Ph C amps (abs) (A),Purge pressure (mHg),ivp purge temperature (C),Purge add flow rate (mlph),Purge add speed (rpm),Purge circulate flow rate (mlph),Purge circulate speed (rpm),BLDC watts (W),Flow (lpm),Input pressure (mmHg),Output pressure (mmHg),Net pressure (mmHg),
Tue Dec 06 2022,17310,20000.5,0.7050981,0.7058097,0.4915533,0.5036992,0.5057526,0.3647,24.9,20,9.621398,800,103.1779,7.0352,0.004507937,99.26757813,201.2719727,102.1843945,
Tue Dec 06 2022,23445,20000.33,0.7005129,0.700418,0.4861992,0.4973382,0.5014669,0.3603,24.9,20,9.621398,800,103.1779,6.729902,-0.000196721,99.26757813,201.2719727,102.1843945,
Tue Dec 06 2022,29584,20002.17,0.6988308,0.6985869,0.4867377,0.4982174,0.5020534,0.3593,24.8,20,9.621398,800,103.1779,6.884807,-0.00232,99.26757813,201.0400391,101.9524609,
Tue Dec 06 2022,35717,19996.19,0.6996801,0.7007622,0.4827965,0.4946422,0.498683,0.3754,24.9,20,9.621398,800,103.1779,6.582811,-0.003666667,99.26757813,202.199707,103.1121289,
Tue Dec 06 2022,41851,20000.66,0.6976805,0.6987744,0.4862908,0.4980321,0.5008885,0.379,24.8,20,9.621398,800,103.1779,7.037772,0.003916667,99.26757813,201.7358398,102.6482617,
Tue Dec 06 2022,47983,20001.07,0.6959531,0.6954203,0.4861825,0.4961905,0.5014188,0.3764,24.8,20,9.621398,800,103.1779,7.169487,0.000408333,99.26757813,202.4316406,103.3440625,
Tue Dec 06 2022,54112,19998.34,0.694208,0.6928937,0.4838903,0.4963595,0.4980291,0.3897,24.8,20,9.621398,800,103.1779,7.151461,-0.001409836,99.26757813,202.199707,103.1121289,
Tue Dec 06 2022,60247,19998.16,0.693734,0.6941665,0.4791037,0.4927727,0.4933681,0.4036,24.9,20,9.621398,800,103.1779,6.944651,0.000451613,99.26757813,201.0400391,101.9524609,
Tue Dec 06 2022,66381,20000.23,0.6913897,0.6917757,0.4814247,0.4946389,0.4971467,0.3993,24.8,20,9.621398,800,103.1779,6.861571,0.001849206,99.26757813,201.2719727,102.1843945,
Tue Dec 06 2022,72507,19998.05,0.6917455,0.6901724,0.47847,0.4922585,0.4938913,0.4144,24.8,20,9.621398,800,103.1779,6.775068,0.000198413,99.26757813,202.199707,103.1121289,
Tue Dec 06 2022,78639,19998.88,0.6894757,0.6896673,0.4783015,0.4917707,0.4952585,0.4102,24.8,20,9.621398,800,103.1779,6.910328,0.00319685,99.26757813,201.2719727,102.1843945,
Tue Dec 06 2022,84762,19999.93,0.6881445,0.688274,0.4781222,0.4923524,0.4952491,0.4173,24.9,20,9.621398,800,103.1779,7.11931,0.060412698,99.26757813,200.5761719,101.4885938,
Tue Dec 06 2022,90886,19998.6,0.6864005,0.6882035,0.473088,0.4861138,0.4919116,0.429,24.8,20,9.621398,800,103.1779,7.022174,0.196601695,99.26757813,197.7929688,98.70539063,
Tue Dec 06 2022,97012,19998.34,0.6830869,0.6838124,0.4752434,0.4871529,0.4909989,0.4201,24.8,20,9.621398,800,103.1779,6.828289,0.327715447,99.26757813,196.1694336,97.08185547,
