Time,Time (ms),Motor speed (rpm),BLDC Q curent for monitoring,Filtered Q current (A),BLDC Ph A amps (abs) (A),BLDC Ph B amps (abs) (A),BLDC Ph C amps (abs) (A),Purge pressure (mHg),ivp purge temperature (C),Purge add flow rate (mlph),Purge add speed (rpm),Purge circulate flow rate (mlph),Purge circulate speed (rpm),BLDC watts (W),Flow (lpm),Input pressure (mmHg),Output pressure (mmHg),Net pressure (mmHg),
Tue Dec 06 2022,17322,20000.23,0.6983262,0.6978597,0.4834195,0.4970689,0.5028162,0.3918,29.3,20,9.621398,800,103.1779,6.694285,4.347617886,50.31738281,36.59912109,-13.42826172,
Tue Dec 06 2022,23453,20002.99,0.6951235,0.6947512,0.4838823,0.4970625,0.4986188,0.3991,29.3,20,9.621398,800,103.1779,6.945833,4.353246032,51.04980469,37.06298828,-13.69681641,
Tue Dec 06 2022,29578,20002.13,0.6966991,0.6968564,0.4849485,0.4994566,0.5018519,0.3765,29.3,20,9.621398,800,103.1779,6.729043,4.35415873,51.04980469,37.52685547,-13.23294922,
Tue Dec 06 2022,35707,19997.16,0.6968753,0.6968067,0.4809487,0.4934499,0.4956863,0.3791,29.3,20,9.621398,800,103.1779,6.921312,4.34834127,50.43945313,36.83105469,-13.31839844,
Tue Dec 06 2022,41845,19998.59,0.6952075,0.6949888,0.4817884,0.4933389,0.4953546,0.3798,29.2,20,9.621398,800,103.1779,6.850339,4.347203252,50.07324219,36.83105469,-12.9521875,
Tue Dec 06 2022,47976,19996.84,0.695625,0.6955264,0.4829901,0.4962733,0.4982558,0.3697,29.2,20,9.621398,800,103.1779,6.913903,4.345404959,50.68359375,37.06298828,-13.33060547,
Tue Dec 06 2022,54112,19998.95,0.694637,0.6953722,0.480698,0.4934401,0.4975152,0.348,29.2,20,9.621398,800,103.1779,6.820597,4.350420635,49.21875,37.06298828,-11.86576172,
Tue Dec 06 2022,60240,20000.33,0.6928283,0.693545,0.4806178,0.493339,0.4964889,0.3585,29.2,20,9.621398,800,103.1779,6.754068,4.341309524,50.31738281,37.29492188,-12.73246094,
Tue Dec 06 2022,66374,19997.83,0.6941566,0.6943819,0.4829999,0.4943873,0.4967736,0.3576,29.1,20,9.621398,800,103.1779,7.191562,4.337404762,51.41601563,37.75878906,-13.36722656,
Tue Dec 06 2022,72506,19998.83,0.6938335,0.6939996,0.4809622,0.4962209,0.4967265,0.3418,29.1,20,9.621398,800,103.1779,7.132705,4.334814516,50.56152344,37.52685547,-12.74466797,
Tue Dec 06 2022,78642,19998.17,0.6937964,0.6945736,0.4796984,0.4922552,0.4968683,0.3626,29.1,20,9.621398,800,103.1779,6.717766,4.313818898,51.04980469,37.75878906,-13.00101563,
Tue Dec 06 2022,84768,20000.33,0.6936136,0.6931964,0.4817929,0.4931411,0.4965867,0.3421,29.1,20,9.621398,800,103.1779,7.037703,4.333698413,50.07324219,37.52685547,-12.25638672,
Tue Dec 06 2022,90906,20000.33,0.6918604,0.6923416,0.4810382,0.493089,0.4982958,0.3405,29,20,9.621398,800,103.1779,6.878547,4.316452381,50.1953125,37.99072266,-11.91458984,
Tue Dec 06 2022,97036,20002.54,0.6934595,0.6925939,0.4801363,0.4933406,0.4960115,0.3434,29,20,9.621398,800,103.1779,6.848692,4.319508475,50.68359375,38.22265625,-12.1709375,
