Time,Time (ms),Motor speed (rpm),BLDC Q curent for monitoring,Filtered Q current (A),BLDC Ph A amps (abs) (A),BLDC Ph B amps (abs) (A),BLDC Ph C amps (abs) (A),Purge pressure (mHg),ivp purge temperature (C),Purge add flow rate (mlph),Purge add speed (rpm),Purge circulate flow rate (mlph),Purge circulate speed (rpm),BLDC watts (W),Flow (lpm),Input pressure (mmHg),Output pressure (mmHg),Net pressure (mmHg),
Tue Dec 06 2022,17311,20003.65,0.800268,0.7983694,0.5581439,0.5705828,0.5733446,0.8966,25.8,20,9.621398,800,103.1779,7.955726,0.007222222,99.14550781,194.3139648,95.67845703,
Tue Dec 06 2022,23448,19998.37,0.7811767,0.7813278,0.5445182,0.5574913,0.559714,0.8696,25.8,20,9.621398,800,103.1779,8.019621,0.004230159,99.26757813,194.3139648,95.55638672,
Tue Dec 06 2022,29590,20004.31,0.7759559,0.7733148,0.5406495,0.5508669,0.553613,0.8629,25.8,20,9.621398,800,103.1779,8.17556,0.007286885,99.14550781,194.3139648,95.67845703,
Tue Dec 06 2022,35728,19995.39,0.7733486,0.775071,0.5392483,0.5528862,0.5527004,0.8386,25.8,20,9.621398,800,103.1779,7.965822,0.003420168,99.26757813,195.2416992,96.48412109,
Tue Dec 06 2022,41854,20006.8,0.7689796,0.7679556,0.537375,0.5490481,0.5518243,0.8228,25.8,20,9.621398,800,103.1779,7.697782,0.003974576,99.26757813,194.5458984,95.78832031,
Tue Dec 06 2022,47981,20004.04,0.7640694,0.7617752,0.5357614,0.5494758,0.5514159,0.7985,25.8,20,9.621398,800,103.1779,7.707571,0.008057377,99.26757813,194.5458984,95.78832031,
Tue Dec 06 2022,54113,20004.92,0.7583508,0.7612454,0.5260824,0.5382777,0.5434322,0.7861,25.8,20,9.621398,800,103.1779,7.774827,0.008722222,99.26757813,194.5458984,95.78832031,
Tue Dec 06 2022,60244,19997.51,0.7602542,0.760492,0.5306025,0.5430802,0.5454401,0.7969,25.9,20,9.621398,800,103.1779,7.701233,7.94E-05,99.26757813,195.0097656,96.2521875,
Tue Dec 06 2022,66378,19994.36,0.7525008,0.7544284,0.5256378,0.5368527,0.5380346,0.7634,25.9,20,9.621398,800,103.1779,7.442144,-0.000680328,99.26757813,195.0097656,96.2521875,
Tue Dec 06 2022,72505,20000.43,0.7509294,0.7520138,0.5229338,0.537324,0.5397956,0.7924,25.9,20,9.621398,800,103.1779,7.551576,-0.001644068,99.26757813,195.4736328,96.71605469,
