Time,Time_ms,Motor_speed_rpm,BLDC_Q_curent_for_monitoring,Filtered_Q_current_A,BLDC_Ph_A_amps_abs_A,BLDC_Ph_B_amps_abs_A,BLDC_Ph_C_amps_abs_A,Purge_pressure_mHg,ivp_purge_temperature_C,Purge_add_flow_rate_mlph,Purge_add_speed_rpm,Purge_circulate_flow_rate_mlph,Purge_circulate_speed_rpm,BLDC_watts_W,Flow_Original_lpm,Input_pressure_mmHg,Output_pressure_mmHg,Net_pressure_mmHg,Flow_lpm,Flow_from_M01_lpm,aortic_Pressure_mmHg,DC_Valve,Input_pressure_from_M04_mmHg,Output_pressure_from_M04_mmHg,Net_pressure_from_M04_mmHg,Bldc_Kp,Bldc_Ki
Fri_Mar_17_2023,45233.0,0.0,0.0,-1.346993e-06,0.01519306,0.01522153,0.01518335,258.8,22.7,20.0,9.621398,800.0,103.1779,0.856251,0.0,-1.7626410000000001,-1.87515,46.867490999999994,0.0,0.03628293479938539,-2.6000000000000005,0.0,9.4,7.7,45.5,0.0012,0.024
Fri_Mar_17_2023,52449.0,0.0,0.0,2.903589e-05,0.01530853,0.01510981,0.01500836,339.1,22.7,20.0,9.621398,800.0,103.1779,0.8745517,1.3929591064453124,-5.5054404,-14.776182,37.709258399999996,1.3929591064453124,1.3441963463991795,-2.5,0.1,4.2,-7.6000000000000005,35.400000000000006,0.0012,0.024
Fri_Mar_17_2023,59681.0,0.0,0.0,2.49808e-05,0.01533861,0.01537359,0.01542252,395.4,22.7,20.0,9.621398,800.0,103.1779,0.5388026,2.67627978515625,-18.038943000000003,-53.029242,11.989700999999997,2.807144963570687,2.8041525323996903,-2.6000000000000005,0.2,-8.6,-44.90000000000001,10.899999999999991,0.0012,0.024
Fri_Mar_17_2023,66902.0,0.0,0.0,3.864865e-05,0.01520502,0.0151501,0.01542029,248.4,22.7,20.0,9.621398,800.0,103.1779,0.6802075,3.454058837890625,-28.5997878,-79.431354,-3.8515662000000006,3.6568981076047473,3.3587631072006117,-2.5,0.30000000000000004,-19.0,-70.10000000000001,-3.9000000000000057,0.0012,0.024
Fri_Mar_17_2023,74125.0,0.0,0.0,2.156076e-05,0.01539147,0.01514577,0.01537012,331.9,22.7,20.0,9.621398,800.0,103.1779,0.4248147,3.6830146484375,-33.1376508,-91.282302,-11.164651200000002,3.9070410230935213,3.7164091788009186,-2.5,0.4,-20.400000000000002,-80.0,-12.399999999999991,0.0012,0.024
Fri_Mar_17_2023,81348.0,0.0,0.0,1.307568e-05,0.01537148,0.01504048,0.01532924,379.7,22.7,20.0,9.621398,800.0,103.1779,0.9831592,3.79499169921875,-34.562764800000004,-94.13253000000002,-12.589765200000016,4.029380202358516,3.7077703848004067,-2.5,0.5,-26.3,-86.50000000000001,-13.000000000000014,0.0012,0.024
Fri_Mar_17_2023,88602.0,0.0,0.0,2.720111e-05,0.01537346,0.01547998,0.01516747,230.8,22.7,20.0,9.621398,800.0,103.1779,0.7446697,3.84069873046875,-34.6452714,-95.932674,-14.30740260000001,4.079316869298317,3.8580854003991774,-2.5,0.6,-26.8,-85.4,-11.400000000000006,0.0012,0.024
Fri_Mar_17_2023,95828.0,0.0,0.0,-3.748678e-05,0.01554189,0.01525204,0.01534522,269.3,22.7,20.0,9.621398,800.0,103.1779,0.7000504,3.8872119140625,-34.9302942,-97.35778800000001,-15.710014800000017,4.130134288279799,3.8459910888009188,-2.5,0.7,-25.3,-87.50000000000001,-15.000000000000014,0.0012,0.024
Fri_Mar_17_2023,137466.0,0.0,0.6,0.6001116,0.4355139,0.4270004,0.4248376,281.5,22.7,20.0,9.621398,800.0,103.1779,1.518744,0.0,-1.7851428000000003,-2.325186,46.4399568,0.0,0.13130966880040962,-2.5,0.0,8.8,7.1000000000000005,46.300000000000004,0.0012,0.024
Fri_Mar_17_2023,167782.0,0.0,0.6,0.5999686,0.4191598,0.4446705,0.4200408,419.0,22.7,20.0,9.621398,800.0,103.1779,1.360246,0.0,-1.9276542,-2.25018,46.657474199999996,0.0,0.020733105598770823,-2.5,0.000840762,7.9,6.800000000000001,46.1,0.0012,0.024
Fri_Mar_17_2023,187980.0,0.0,0.6,0.6001312,0.4238721,0.4141158,0.424099,305.2,22.7,20.0,9.621398,800.0,103.1779,0.8080215,0.0,-1.8301464,-2.400192,46.4099544,0.0,0.03455517600051212,-2.6000000000000005,0.003218794,8.4,7.300000000000001,46.1,0.0012,0.024
Fri_Mar_17_2023,218221.0,0.0,0.6,0.6000252,0.4262998,0.4269043,0.4258789,315.0,22.7,20.0,9.621398,800.0,103.1779,1.046613,0.0,-2.0251620000000004,-2.4751980000000002,46.529964,0.0,0.0932989752006145,-2.5,0.00758752,7.800000000000001,6.1000000000000005,45.5,0.0012,0.024
Fri_Mar_17_2023,248506.0,0.0,0.6,0.6000187,0.4371275,0.4359584,0.4250559,325.1000000000001,22.7,20.0,9.621398,800.0,103.1779,1.374,0.0,-1.8976518000000002,-2.25018,46.627471799999995,0.0,0.08811569879938534,-2.6000000000000005,0.014313612,8.700000000000001,7.200000000000001,45.7,0.0012,0.024
Fri_Mar_17_2023,278880.0,0.0,0.6,0.6000351,0.4226753,0.4190981,0.415422,336.6,22.7,20.0,9.621398,800.0,103.1779,1.130722,0.0,-1.8901512,-2.400192,46.4699592,0.0,0.025916381999999977,-2.5,0.023713612,8.700000000000001,7.300000000000001,45.800000000000004,0.0012,0.024
Fri_Mar_17_2023,296110.0,0.0,0.6,0.5998657,0.4304788,0.4261528,0.4261686,489.4,22.7,20.0,9.621398,800.0,103.1779,1.097329,0.10926780700683594,-1.9351548,-2.4751980000000002,46.4399568,0.08945890700683594,0.141676221599795,-2.6000000000000005,0.036070233,8.3,6.800000000000001,45.7,0.0012,0.024
Fri_Mar_17_2023,302319.0,0.0,0.6,0.6001522,0.4043148,0.4227268,0.4311984,314.7,22.7,20.0,9.621398,800.0,103.1779,1.162051,0.4493308715820313,-2.2726818,-3.5252820000000002,45.72739979999999,0.42952197158203126,0.40775107679989725,-2.6000000000000005,0.051641355,7.6000000000000005,4.9,44.5,0.0012,0.024
Fri_Mar_17_2023,308591.0,0.0,0.6,0.5999985,0.4333276,0.4356599,0.4168668,473.7,22.7,20.0,9.621398,800.0,103.1779,1.548682,0.845152587890625,-3.2327586,-7.350588,42.8621706,0.825343687890625,0.7394807664002042,-2.6000000000000005,0.070665617,7.0,1.4000000000000001,41.800000000000004,0.0012,0.024
Fri_Mar_17_2023,314939.0,0.0,0.6,0.6000082,0.4278769,0.4233408,0.4218964,450.0,22.7,20.0,9.621398,800.0,103.1779,1.10591,1.268234375,-4.7328786,-13.126050000000001,38.5868286,1.268234375,1.2353475419994868,-2.6000000000000005,0.093366179,5.0,-5.1000000000000005,37.1,0.0012,0.024
Fri_Mar_17_2023,321288.0,0.0,0.6,0.5998459,0.4264453,0.4319205,0.4007539,442.2,22.7,20.0,9.621398,800.0,103.1779,1.2379,1.894878662109375,-9.210736800000001,-25.877070000000003,30.313666799999993,1.9534345702058067,1.8072357047998961,-2.6000000000000005,0.119953394,0.8,-17.7,28.800000000000004,0.0012,0.024
Fri_Mar_17_2023,327668.0,0.0,0.6,0.6001292,0.4249924,0.4264198,0.4157768,316.1,22.7,20.0,9.621398,800.0,103.1779,1.267734,2.390720947265625,-14.071125600000002,-38.92811400000001,22.12301159999999,2.4951610917356333,2.308285756800408,-2.6000000000000005,0.150626791,-4.3,-31.0,20.300000000000004,0.0012,0.024
Fri_Mar_17_2023,334113.0,0.0,0.6,0.6001157,0.4181478,0.4428661,0.4203502,374.90000000000003,22.7,20.0,9.621398,800.0,103.1779,1.32907,2.73230615234375,-18.3914712,-51.379110000000004,13.992361199999998,2.8683558968029605,2.7644140799994856,-2.6000000000000005,0.185576593,-9.4,-42.300000000000004,14.299999999999997,0.0012,0.024
Fri_Mar_17_2023,340652.0,0.0,0.6,0.5999699,0.4389116,0.4257127,0.3990464,312.8,22.7,20.0,9.621398,800.0,103.1779,1.29781,2.93219091796875,-20.8366668,-58.654692000000004,9.161974799999989,3.0867375920121822,2.904362542800407,-2.6000000000000005,0.224984909,-10.600000000000001,-49.400000000000006,8.399999999999999,0.0012,0.024
Fri_Mar_17_2023,347203.0,0.0,0.6,0.6001603,0.4218523,0.4200553,0.4156,538.3,22.7,20.0,9.621398,800.0,103.1779,1.303861,3.081146728515625,-23.2293582,-65.180214,5.02914419999999,3.2494774702454112,3.0443110055997926,-2.6000000000000005,0.269026693,-12.8,-54.1,5.900000000000006,0.0012,0.024
Fri_Mar_17_2023,354467.0,0.0,0.6,0.5999439,0.4278475,0.4086045,0.4073352,361.1,22.7,20.0,9.621398,800.0,103.1779,1.273336,3.40692236328125,-27.692215200000003,-77.85622800000002,-3.184012800000012,3.6053997195250194,3.3155691371995877,-2.6000000000000005,0.371679265,-18.2,-69.0,-3.5999999999999943,0.0012,0.024
Fri_Mar_17_2023,361200.0,0.0,0.6,0.6000296,0.4153079,0.4174798,0.4221329,231.7,22.7,20.0,9.621398,800.0,103.1779,1.36774,3.58025244140625,-30.714957,-84.681774,-6.851806200000006,3.794769410473342,3.585099509998973,-2.6000000000000005,0.430610594,-21.700000000000003,-73.9,-3.9000000000000057,0.0012,0.024
Fri_Mar_17_2023,368009.0,0.0,0.6,0.6000472,0.4236166,0.4092579,0.42715,295.1,22.7,20.0,9.621398,800.0,103.1779,1.014058,3.671512939453125,-31.9300542,-87.15697200000001,-8.246917800000013,3.894474969357724,3.574732957199587,-2.6000000000000005,0.494817479,-19.700000000000003,-77.0,-10.099999999999994,0.0012,0.024
Fri_Mar_17_2023,374959.0,0.0,0.6,0.6001187,0.4182047,0.4347552,0.4200081,385.6000000000001,22.7,20.0,9.621398,800.0,103.1779,1.042341,3.76342431640625,-34.082726400000006,-92.707416,-11.644689599999992,3.994891638158254,3.7855195308004066,-2.5,0.564448578,-24.5,-85.80000000000001,-14.100000000000009,0.0012,0.024
Fri_Mar_17_2023,381908.0,0.0,0.6,0.5999642,0.4272834,0.4240731,0.4345407,416.00000000000006,22.7,20.0,9.621398,800.0,103.1779,0.7800896,3.80718359375,-35.155312200000004,-95.48263800000001,-13.347325800000007,4.042700310007648,3.730231249199587,-2.5,0.639648578,-24.700000000000003,-85.5,-13.599999999999994,0.0012,0.024
Fri_Mar_17_2023,388917.0,0.0,0.6,0.5999219,0.4383227,0.4338353,0.409719,325.9,22.7,20.0,9.621398,800.0,103.1779,1.040083,3.87669287109375,-35.410332600000004,-97.35778800000001,-14.967455400000013,4.11864183447367,3.8269857419994846,-2.5,0.720558501,-23.8,-88.2,-17.200000000000003,0.0012,0.024
Fri_Mar_17_2023,396770.0,0.0,0.6,0.600076,0.4243474,0.4328836,0.4351318,355.6,22.7,20.0,9.621398,800.0,103.1779,1.337321,3.811089599609375,-35.3878308,-96.60772800000001,-14.239897200000009,4.046967769703239,3.813163671600816,-2.5,0.87315969,-26.200000000000003,-87.00000000000001,-13.600000000000009,0.0012,0.024
Fri_Mar_17_2023,403099.0,0.0,0.6,0.6001077,0.4319666,0.4174028,0.3990963,235.9,22.7,20.0,9.621398,800.0,103.1779,1.170193,3.808154541015625,-35.0803062,-97.20777600000001,-15.14746980000001,4.04376110675803,3.8027971187998943,-2.5,0.900055437,-26.900000000000002,-90.30000000000003,-16.200000000000017,0.0012,0.024
Fri_Mar_17_2023,410310.0,0.0,0.6,0.6000046,0.4036062,0.4230279,0.4319004,409.8,22.7,20.0,9.621398,800.0,103.1779,1.348616,3.91174365234375,-35.6128488,-96.15769200000001,-13.564843200000013,4.156936143716541,3.6956760732006115,-2.5,0.998908404,-22.0,-86.7,-17.5,0.0012,0.024
Fri_Mar_17_2023,455645.0,0.0,0.6,0.6000968,0.4240728,0.4269668,0.4034782,426.0,22.7,20.0,9.621398,800.0,103.1779,1.165683,0.0,-1.7926434000000002,-2.400192,46.372451399999996,0.0,0.0691103519994878,-2.5,0.0,8.4,6.200000000000001,45.0,0.0012,0.024
Fri_Mar_17_2023,485918.0,0.0,0.6,0.6001413,0.4184006,0.4315538,0.4237452,296.1,22.7,20.0,9.621398,800.0,103.1779,1.116262,0.0,-1.87515,-2.4751980000000002,46.379951999999996,0.0,0.02246086440071699,-2.6000000000000005,0.000840762,8.700000000000001,6.800000000000001,45.300000000000004,0.0012,0.024
Fri_Mar_17_2023,516101.0,0.0,0.6,0.5999335,0.4316383,0.4271155,0.4228409,329.1,22.7,20.0,9.621398,800.0,103.1779,1.094741,0.0,-1.7551404000000002,-2.700216,46.034924399999994,0.0,0.032827417200102404,-2.6000000000000005,0.003218794,8.3,5.9,44.800000000000004,0.0012,0.024
Fri_Mar_17_2023,546468.0,0.0,0.6,0.6000698,0.4297171,0.4310625,0.4407059,291.2,22.7,20.0,9.621398,800.0,103.1779,1.037889,0.0,-1.8526482,-2.400192,46.4324562,0.0,0.01209431159979513,-2.6000000000000005,0.00758752,8.0,6.1000000000000005,45.300000000000004,0.0012,0.024
Fri_Mar_17_2023,576831.0,0.0,0.6,0.5998977,0.4227305,0.440337,0.4212854,361.0,22.7,20.0,9.621398,800.0,103.1779,1.131711,0.0,-1.7476398000000002,-2.325186,46.402453799999996,0.0,-0.003455517599282987,-2.6000000000000005,0.014313612,8.700000000000001,6.7,45.2,0.0012,0.024
Fri_Mar_17_2023,607222.0,0.0,0.6,0.5998763,0.4115605,0.4261568,0.4376334,227.9,22.7,20.0,9.621398,800.0,103.1779,1.325423,0.0,-1.8451476,-2.175174,46.649973599999996,0.0,0.03801069359979511,-2.6000000000000005,0.023713612,7.5,5.800000000000001,45.2,0.0012,0.024
Fri_Mar_17_2023,613395.0,0.0,0.6,0.6000887,0.4344216,0.4372292,0.4056949,386.6000000000001,22.7,20.0,9.621398,800.0,103.1779,1.23201,0.08962371063232422,-1.9276542,-2.4751980000000002,46.4324562,0.06981481063232421,0.05010500519959024,-2.6000000000000005,0.036070233,8.9,7.200000000000001,45.5,0.0012,0.024
Fri_Mar_17_2023,619633.0,0.0,0.6,0.6000335,0.4219593,0.4252756,0.4255649,522.7,22.7,20.0,9.621398,800.0,103.1779,1.075168,0.4592602844238281,-2.1676734,-4.275342000000001,44.87233139999999,0.4394513844238281,0.4319396999994875,-2.5,0.051641355,7.4,3.9000000000000004,43.7,0.0012,0.024
Fri_Mar_17_2023,625894.0,0.0,0.6,0.6000825,0.4288808,0.4350388,0.4066182,267.3,22.7,20.0,9.621398,800.0,103.1779,1.089062,0.7834398803710938,-2.9102328,-7.0505640000000005,42.8396688,0.7636309803710938,0.8155021535997945,-2.6000000000000005,0.070665617,7.1000000000000005,1.4000000000000001,41.5,0.0012,0.024
Fri_Mar_17_2023,632186.0,0.0,0.6,0.6001506,0.4227616,0.4209042,0.4252317,263.2,22.7,20.0,9.621398,800.0,103.1779,0.9640272,1.264424072265625,-4.9878990000000005,-13.87611,38.091789,1.264424072265625,1.2146144363991795,-2.5,0.093366179,4.9,-5.200000000000001,37.1,0.0012,0.024
Fri_Mar_17_2023,638583.0,0.0,0.6,0.5999032,0.4394998,0.4199717,0.4159579,482.0,22.7,20.0,9.621398,800.0,103.1779,0.7977729,1.879011474609375,-9.135730800000001,-26.702136000000003,29.413594799999995,1.9360990654532666,1.9005346800005105,-2.6000000000000005,0.119953394,0.6000000000000001,-17.7,28.900000000000002,0.0012,0.024
Fri_Mar_17_2023,645035.0,0.0,0.6,0.600048,0.425153,0.430844,0.4105567,515.5,22.7,20.0,9.621398,800.0,103.1779,0.8347465,2.3186171875,-13.276062000000001,-37.87803,22.378031999999997,2.4163849967223863,2.2910081687993835,-2.5,0.150626791,-3.7,-29.1,21.8,0.0012,0.024
Fri_Mar_17_2023,653548.0,0.0,0.6,0.6001177,0.4134086,0.4265293,0.4221084,301.2,22.7,20.0,9.621398,800.0,103.1779,1.310083,2.7619560546875,-18.601488,-52.35418800000001,13.227299999999993,2.9007495407926362,2.7143090747998952,-2.6000000000000005,0.185576593,-8.6,-44.7,11.5,0.0012,0.024
Fri_Mar_17_2023,660046.0,0.0,0.6,0.5999588,0.4293657,0.4139984,0.4195752,315.9,22.7,20.0,9.621398,800.0,103.1779,1.295427,3.132000244140625,-23.4243738,-66.00528000000001,4.3990937999999815,3.3050368667547527,3.1548875687998947,-2.6000000000000005,0.224984909,-13.3,-58.5,2.0,0.0012,0.024
Fri_Mar_17_2023,666600.0,0.0,0.6,0.6000589,0.438188,0.4430435,0.4201314,266.4,22.7,20.0,9.621398,800.0,103.1779,1.262509,3.5308447265625,-29.649871800000003,-82.731618,-6.101746200000001,3.740789606208347,3.519444675600304,-2.5,0.269026693,-22.0,-74.7,-6.299999999999997,0.0012,0.024
Fri_Mar_17_2023,673842.0,0.0,0.6,0.5999436,0.4282255,0.4281586,0.4141921,497.6,22.7,20.0,9.621398,800.0,103.1779,0.849375,3.946519287109375,-36.4229136,-101.48311800000002,-18.08020440000002,4.194929844979105,3.932379028799894,-2.6000000000000005,0.371679265,-25.8,-90.5,-14.599999999999994,0.0012,0.024
Fri_Mar_17_2023,680590.0,0.0,0.6,0.6000029,0.4515283,0.4269511,0.4243671,355.8,22.7,20.0,9.621398,800.0,103.1779,0.9101612,4.07288232421875,-38.665593,-106.73353800000001,-21.087945000000012,4.332986260481537,3.979028516398665,-2.5,0.430610594,-26.900000000000002,-97.7,-19.599999999999994,0.0012,0.024
Fri_Mar_17_2023,687377.0,0.0,0.6,0.6000091,0.4215958,0.4238255,0.4143123,196.6,22.7,20.0,9.621398,800.0,103.1779,0.9450245,4.05993310546875,-39.5131608,-111.38391,-24.89074920000001,4.318838747371081,3.8788185059994844,-2.6000000000000005,0.494817479,-31.400000000000006,-100.60000000000001,-24.900000000000006,0.0012,0.024
Fri_Mar_17_2023,694221.0,0.0,0.6,0.6000741,0.4291005,0.4262077,0.4290849,221.6,22.7,20.0,9.621398,800.0,103.1779,0.8818417,4.16984765625,-39.8206854,-111.308904,-24.5082186,4.4389245670818305,3.991122827999997,-2.6000000000000005,0.564448578,-30.6,-100.5,-23.799999999999997,0.0012,0.024
Fri_Mar_17_2023,701149.0,0.0,0.6,0.5999761,0.4347793,0.438338,0.4037107,539.6000000000001,22.7,20.0,9.621398,800.0,103.1779,0.925193,4.068506103515625,-39.2881428,-109.65877200000001,-23.390629200000014,4.328205073217115,4.170809743201123,-2.6000000000000005,0.639648578,-27.900000000000002,-96.40000000000002,-21.30000000000001,0.0012,0.024
Fri_Mar_17_2023,708168.0,0.0,0.6,0.6000608,0.4366024,0.4157364,0.4317426,239.50000000000003,22.7,20.0,9.621398,800.0,103.1779,1.187114,3.964326416015625,-37.4429952,-103.733298,-19.31030280000001,4.214384809369196,3.8960960940005087,-2.6000000000000005,0.720558501,-26.8,-96.10000000000001,-22.10000000000001,0.0012,0.024
Fri_Mar_17_2023,717038.0,0.0,0.6,0.5999314,0.4218903,0.4125826,0.4251087,311.40000000000003,22.7,20.0,9.621398,800.0,103.1779,1.081739,3.815394287109375,-35.8078644,-96.457716,-14.247397800000009,4.051670804227439,3.8719074708009185,-2.6000000000000005,0.87315969,-27.400000000000006,-87.7,-13.099999999999994,0.0012,0.024
Fri_Mar_17_2023,723373.0,0.0,0.6,0.5999866,0.4481553,0.4377615,0.4157949,356.4,22.7,20.0,9.621398,800.0,103.1779,1.237905,3.853127197265625,-35.5228416,-95.182614,-12.679772400000004,4.092895441129275,3.757875389999997,-2.5,0.900055437,-21.0,-85.80000000000001,-14.400000000000006,0.0012,0.024
