Time,Time (ms),Motor speed (rpm),BLDC Q curent for monitoring,Filtered Q current (A),BLDC Ph A amps (abs) (A),BLDC Ph B amps (abs) (A),BLDC Ph C amps (abs) (A),Purge pressure (mHg),ivp purge temperature (C),Purge add flow rate (mlph),Purge add speed (rpm),Purge circulate flow rate (mlph),Purge circulate speed (rpm),BLDC watts (W),Flow (lpm),Input pressure (mmHg),Output pressure (mmHg),Net pressure (mmHg),
Tue Dec 06 2022,17309,19994.93,0.7750296,0.7766646,0.5379962,0.5530868,0.5534087,0.2535,25.6,20,9.621398,800,103.1779,7.546805,0.005959677,99.26757813,201.0400391,102.0724609,
Tue Dec 06 2022,23434,20002.55,0.768204,0.7667008,0.5369548,0.548908,0.5511323,0.2604,25.6,20,9.621398,800,103.1779,7.652489,0.00402521,99.26757813,201.2719727,102.3043945,
Tue Dec 06 2022,29560,19995.85,0.7702566,0.7716604,0.5376383,0.549826,0.5558295,0.2656,25.6,20,9.621398,800,103.1779,7.822676,0.003132231,99.26757813,201.0400391,102.0724609,
Tue Dec 06 2022,35696,19999.45,0.7656803,0.7650967,0.5323381,0.5462193,0.5508115,0.2703,25.6,20,9.621398,800,103.1779,7.658122,-0.002413223,99.26757813,201.0400391,102.0724609,
Tue Dec 06 2022,41834,19992.69,0.7671838,0.7691268,0.5310346,0.5456208,0.5457032,0.2691,25.6,20,9.621398,800,103.1779,7.59615,0.004349206,99.26757813,201.0400391,102.0724609,
Tue Dec 06 2022,47960,19996.35,0.7639955,0.7652841,0.530458,0.5431307,0.5437587,0.2741,25.6,20,9.621398,800,103.1779,7.417536,0.005655462,99.26757813,201.2719727,102.3043945,
Tue Dec 06 2022,54096,19997.91,0.76499,0.7657071,0.5292082,0.5409873,0.5450918,0.2691,25.7,20,9.621398,800,103.1779,7.72971,0.003704918,99.26757813,200.8081055,101.8405273,
Tue Dec 06 2022,60230,20000.27,0.7608175,0.7611577,0.5286388,0.5412053,0.5458022,0.2697,25.7,20,9.621398,800,103.1779,7.654402,0.006579365,99.26757813,200.5761719,101.6085938,
Tue Dec 06 2022,66371,19999.87,0.7583683,0.7582073,0.5266309,0.5401757,0.5430088,0.27,25.7,20,9.621398,800,103.1779,7.677736,0.006316667,99.26757813,200.3442383,101.3766602,
Tue Dec 06 2022,72496,19999.92,0.7579805,0.7585643,0.5266994,0.5414259,0.5410957,0.2699,25.7,20,9.621398,800,103.1779,7.802218,0.007307087,99.26757813,200.5761719,101.6085938,
Tue Dec 06 2022,78624,19998.69,0.7519709,0.7527952,0.5245849,0.5367482,0.5388659,0.2782,25.7,20,9.621398,800,103.1779,7.501444,0.009303279,99.26757813,200.8081055,101.8405273,
Tue Dec 06 2022,84762,20002.67,0.7449398,0.743963,0.5221214,0.5353557,0.5359466,0.2711,25.7,20,9.621398,800,103.1779,7.390459,0.035097561,99.26757813,199.6484375,100.6808594,
Tue Dec 06 2022,90900,20004.47,0.7451097,0.7440888,0.5177004,0.5328958,0.536654,0.2696,25.7,20,9.621398,800,103.1779,7.140383,0.151253968,99.26757813,199.1845703,100.2169922,
Tue Dec 06 2022,97037,19998.11,0.7471578,0.7463776,0.5170802,0.5303211,0.5348701,0.2766,25.7,20,9.621398,800,103.1779,7.127394,0.390260504,99.26757813,195.9375,96.96992188,
Tue Dec 06 2022,103166,20000.34,0.745558,0.7449263,0.5172009,0.5314258,0.5340622,0.279,25.7,20,9.621398,800,103.1779,7.363109,0.491408333,99.26757813,193.3862305,94.41865234,
Tue Dec 06 2022,109308,19996.67,0.7413783,0.7424145,0.5139709,0.5262702,0.5269465,0.265,25.8,20,9.621398,800,103.1779,7.354124,0.645603175,99.26757813,190.3710938,91.40351563,
Tue Dec 06 2022,115433,19996.56,0.7393858,0.7394299,0.5113629,0.5285518,0.5304365,0.2669,25.8,20,9.621398,800,103.1779,6.984518,0.869650794,99.26757813,183.8769531,84.909375,
Tue Dec 06 2022,121621,19996.47,0.7365126,0.7379141,0.5092252,0.5236233,0.5261346,0.2768,25.8,20,9.621398,800,103.1779,7.488657,1.057711864,99.26757813,178.5424805,79.57490234,
Tue Dec 06 2022,127756,20000.26,0.7303878,0.7294856,0.5064105,0.5198924,0.5229732,0.2577,25.8,20,9.621398,800,103.1779,7.407392,1.298626984,99.26757813,170.8886719,71.92109375,
