Time,Time (ms),Motor speed (rpm),BLDC Q curent for monitoring,Filtered Q current (A),BLDC Ph A amps (abs) (A),BLDC Ph B amps (abs) (A),BLDC Ph C amps (abs) (A),Purge pressure (mHg),ivp purge temperature (C),Purge add flow rate (mlph),Purge add speed (rpm),Purge circulate flow rate (mlph),Purge circulate speed (rpm),BLDC watts (W),Flow_Original (lpm),Input pressure (mmHg),Output pressure (mmHg),Net pressure (mmHg),Flow (lpm),,,,
Mon Jan 30 2023,158508,20000.33,0.615497,0.6153334,0.4251626,0.442696,0.4376039,121.8,24.3,20,9.621398,800,103.1779,6.422652,3.298527344,-10.8683694,-27.977238,-14.1788686,3.486974045,,,,
Mon Jan 30 2023,164650,20000.54,0.6112815,0.6113618,0.4222103,0.4410687,0.4348013,118.1,24.4,20,9.621398,800,103.1779,6.56144,3.361947021,-11.6934354,-31.12749,-16.5040546,3.556262451,,,,
Mon Jan 30 2023,170790,20000.33,0.6088025,0.6095468,0.4203545,0.4408461,0.4354599,119.7,24.4,20,9.621398,800,103.1779,6.154131,3.371685791,-12.2484798,-32.927634,-17.7491542,3.566902427,,,,
Mon Jan 30 2023,176929,20000.97,0.6103151,0.6102892,0.4238449,0.4409476,0.4366033,117.1,24.4,20,9.621398,800,103.1779,6.389386,3.497713867,-12.7960236,-35.177814,-19.4517904,3.704592885,,,,
Mon Jan 30 2023,183071,19998.32,0.6115766,0.6112423,0.4207129,0.437059,0.4326563,112.1,24.4,20,9.621398,800,103.1779,6.474728,3.518756592,-12.863529,-38.553084,-22.759555,3.72758286,,,,
Mon Jan 30 2023,189211,20001.74,0.6069443,0.6067798,0.4209828,0.4391344,0.4329826,110.4,24.4,20,9.621398,800,103.1779,6.684909,3.556907471,-13.4035722,-39.00312,-22.6695478,3.769264144,,,,
Mon Jan 30 2023,195352,19998.53,0.6094993,0.6083588,0.4197098,0.4388135,0.4325683,106.4,24.4,20,9.621398,800,103.1779,6.581101,3.642655762,-14.0111208,-41.853348,-24.9122272,3.862947407,,,,
Mon Jan 30 2023,201491,19999.79,0.6061518,0.606733,0.4199032,0.4380823,0.4323193,107.9,24.4,20,9.621398,800,103.1779,6.589552,3.680635254,-14.3936514,-45.453636,-28.1299846,3.904441444,,,,
Mon Jan 30 2023,207633,19999.96,0.6081898,0.608363,0.4177232,0.4366187,0.4324695,100.6,24.4,20,9.621398,800,103.1779,6.281824,3.716016846,-14.8661892,-46.203696,-28.4075068,3.943097177,,,,
Mon Jan 30 2023,213774,20000.44,0.6087636,0.6090506,0.4164445,0.4363806,0.4320394,102.3,24.4,20,9.621398,800,103.1779,6.471983,3.770739502,-15.3087246,-46.803744,-28.5650194,4.002883756,,,,
Mon Jan 30 2023,219915,20000.97,0.6090327,0.6089875,0.4204702,0.4380306,0.4315147,97.2,24.5,20,9.621398,800,103.1779,6.193865,3.820787842,-15.5712456,-48.7539,-30.2526544,4.057563467,,,,
Mon Jan 30 2023,226055,20002.56,0.6051717,0.6051294,0.4185834,0.4361682,0.4301775,94.5,24.5,20,9.621398,800,103.1779,6.368136,3.823273438,-16.0062804,-52.579206,-33.6429256,4.060279075,,,,
Mon Jan 30 2023,232195,19997.59,0.6044461,0.6046488,0.4190773,0.4376744,0.4305887,93.3,24.5,20,9.621398,800,103.1779,6.363808,3.852918457,-16.3588086,-52.804224,-33.5154154,4.092667384,,,,
