Time,Time (ms),Motor speed (rpm),BLDC Q curent for monitoring,Filtered Q current (A),BLDC Ph A amps (abs) (A),BLDC Ph B amps (abs) (A),BLDC Ph C amps (abs) (A),Purge pressure (mHg),ivp purge temperature (C),Purge add flow rate (mlph),Purge add speed (rpm),Purge circulate flow rate (mlph),Purge circulate speed (rpm),BLDC watts (W),Flow (lpm),Input pressure (mmHg),Output pressure (mmHg),Net pressure (mmHg),
Tue Dec 06 2022,17309,19995.81,0.7230233,0.7237418,0.5024834,0.5164199,0.5196295,0.0956,28.8,20,9.621398,800,103.1779,7.315921,2.007293651,-17.1875,18.50830078,35.99580078,
Tue Dec 06 2022,23448,19997.76,0.7182882,0.7176671,0.4998107,0.5099459,0.5157033,0.1354,28.8,20,9.621398,800,103.1779,6.936683,1.996330508,-16.82128906,18.04443359,35.16572266,
Tue Dec 06 2022,29587,19998.2,0.7141737,0.7141015,0.4960341,0.5069393,0.5110399,0.1348,28.8,20,9.621398,800,103.1779,6.795399,2.002366667,-16.69921875,18.50830078,35.50751953,
Tue Dec 06 2022,35713,20002.66,0.7097397,0.7091075,0.4938726,0.5062933,0.5091414,0.1302,28.8,20,9.621398,800,103.1779,7.198838,2.000669492,-16.82128906,18.50830078,35.62958984,
Tue Dec 06 2022,41843,19999.88,0.7099759,0.7112899,0.4933563,0.5084525,0.5109177,0.1304,28.8,20,9.621398,800,103.1779,7.215396,2.003251969,-16.82128906,18.04443359,35.16572266,
Tue Dec 06 2022,47978,20004.31,0.7079573,0.7078509,0.4906169,0.5048568,0.5085943,0.1224,28.8,20,9.621398,800,103.1779,7.000586,2.003,-16.57714844,18.04443359,34.92158203,
Tue Dec 06 2022,54121,19999.44,0.7109128,0.710995,0.4937532,0.506109,0.5077381,0.1177,28.8,20,9.621398,800,103.1779,7.020416,1.997833333,-16.45507813,18.27636719,35.03144531,
Tue Dec 06 2022,60258,19998.34,0.7087303,0.7089576,0.4947032,0.5050911,0.5076672,0.1099,28.8,20,9.621398,800,103.1779,7.146459,1.993504,-16.45507813,18.50830078,35.26337891,
Tue Dec 06 2022,66397,19998.34,0.7084101,0.7085453,0.4907945,0.5041219,0.5076498,0.1134,28.7,20,9.621398,800,103.1779,7.06072,1.996928571,-16.69921875,18.27636719,35.27558594,
Tue Dec 06 2022,72524,20000.5,0.7070585,0.7065277,0.4904001,0.5032344,0.5076094,0.1065,28.8,20,9.621398,800,103.1779,6.799706,1.997125,-16.57714844,18.27636719,35.15351563,
Tue Dec 06 2022,78653,20000.28,0.702294,0.7022587,0.4860021,0.4997377,0.5015123,0.1056,28.8,20,9.621398,800,103.1779,6.843657,1.996669421,-16.45507813,18.50830078,35.26337891,
Tue Dec 06 2022,84790,20000.74,0.7011658,0.7010684,0.4870028,0.4993422,0.5012093,0.1044,28.8,20,9.621398,800,103.1779,7.008152,1.999854839,-16.94335938,18.50830078,35.75166016,
Tue Dec 06 2022,90931,20002.32,0.7026797,0.7026623,0.4889416,0.5022052,0.5057828,0.1011,28.7,20,9.621398,800,103.1779,6.609671,1.996142857,-16.82128906,18.74023438,35.86152344,
Tue Dec 06 2022,97073,20002.37,0.7024811,0.7024004,0.489055,0.501502,0.5046864,0.1016,28.7,20,9.621398,800,103.1779,7.113102,1.984261905,-16.57714844,18.74023438,35.61738281,
Tue Dec 06 2022,103200,20001.35,0.7041684,0.7038903,0.4923576,0.5031663,0.5059845,0.1116,28.7,20,9.621398,800,103.1779,7.026515,1.986833333,-16.57714844,18.74023438,35.61738281,
Tue Dec 06 2022,109338,19999.25,0.7040309,0.7048602,0.4875066,0.5024684,0.5037716,0.1097,28.7,20,9.621398,800,103.1779,6.887279,1.983344262,-16.33300781,18.74023438,35.37324219,
Tue Dec 06 2022,115468,19996.35,0.7040932,0.704605,0.4863932,0.5009316,0.5036957,0.1053,28.7,20,9.621398,800,103.1779,7.100343,1.981516129,-16.57714844,18.97216797,35.84931641,
Tue Dec 06 2022,121604,19998.08,0.7022902,0.7021078,0.487426,0.5012966,0.5040172,0.1121,28.7,20,9.621398,800,103.1779,7.063128,1.979873016,-16.33300781,18.74023438,35.37324219,
Tue Dec 06 2022,127746,19996.66,0.7050194,0.706008,0.4883889,0.5000221,0.5031824,0.1108,28.7,20,9.621398,800,103.1779,6.743105,1.975875,-15.96679688,18.97216797,35.23896484,
